"species","colour","cluster","cluster_int","cluster_name"
"Vertebrata.fucoides","#50A315","D",4,"Zone3_D"
"Peringia.ulvae","#50A315","D",4,"Zone3_D"
"Mya.arenaria","#50A315","D",4,"Zone3_D"
"Cerastoderma.glaucum","#50A315","D",4,"Zone3_D"
"Hediste.diversicolor","#50A315","D",4,"Zone3_D"
"Gammarus.zaddachi","#50A315","D",4,"Zone3_D"
"Amphibalanus.improvisus","#50A315","D",4,"Zone3_D"
"Corophium.volutator","#50A315","D",4,"Zone3_D"
"Gammarus.salinus","#50A315","D",4,"Zone3_D"
"Bathyporeia.pilosa","#50A315","D",4,"Zone3_D"
"Jaera.albifrons","#50A315","D",4,"Zone3_D"
"Marenzelleria","#50A315","D",4,"Zone3_D"
"Limecola.balthica","#50A315","D",4,"Zone3_D"
"Pygospio.elegans","#50A315","D",4,"Zone3_D"
"Coccotylus.Phyllophora","#50A315","D",4,"Zone3_D"
"Mytilus","#50A315","D",4,"Zone3_D"
"Rhodomela.confervoides","#50A315","D",4,"Zone3_D"
"Einhornia.crustulenta","#50A315","D",4,"Zone3_D"
"Tubificoides.pseudogaster","#009ADE","C",3,"Zone3_C"
"Scytosiphon.lomentaria","#009ADE","C",3,"Zone3_C"
"Polydora.cornuta","#009ADE","C",3,"Zone3_C"
"Sphaerotrichia.divaricata","#009ADE","C",3,"Zone3_C"
"Ulva.lactuca","#009ADE","C",3,"Zone3_C"
"Dictyosiphon.chordaria","#009ADE","C",3,"Zone3_C"
"Mesogloia.vermiculata","#009ADE","C",3,"Zone3_C"
"Platynereis.dumerilii","#009ADE","C",3,"Zone3_C"
"Heteromastus.filiformis","#009ADE","C",3,"Zone3_C"
"Delesseria.sanguinea","#009ADE","C",3,"Zone3_C"
"Polysiphonia.stricta","#009ADE","C",3,"Zone3_C"
"Arenicola.marina","#009ADE","C",3,"Zone3_C"
"Capitella.capitata","#009ADE","C",3,"Zone3_C"
"Ceramium.virgatum","#009ADE","C",3,"Zone3_C"
"Cladophora.sericea","#009ADE","C",3,"Zone3_C"
"Dumontia.contorta","#009ADE","C",3,"Zone3_C"
"Callithamnion.corymbosum","#009ADE","C",3,"Zone3_C"
"Chaetomorpha.melagonium","#009ADE","C",3,"Zone3_C"
"Membranoptera.alata","#009ADE","C",3,"Zone3_C"
"Polysiphonia.elongata","#009ADE","C",3,"Zone3_C"
"Ahnfeltia.plicata","#009ADE","C",3,"Zone3_C"
"Bryopsis.hypnoides","#009ADE","C",3,"Zone3_C"
"Furcellaria.lumbricalis","#00AD9A","B",2,"Zone3_B"
"Ceramium.tenuicorne","#00AD9A","B",2,"Zone3_B"
"Ectocarpus.Pylaiella","#00AD9A","B",2,"Zone3_B"
"Ecrobia.ventrosa","#00AD9A","B",2,"Zone3_B"
"Gammarus.oceanicus","#00AD9A","B",2,"Zone3_B"
"Theodoxus.fluviatilis","#00AD9A","B",2,"Zone3_B"
"Dictyosiphon.foeniculaceus","#00AD9A","B",2,"Zone3_B"
"Cyanophthalma.obscura","#00AD9A","B",2,"Zone3_B"
"Neomysis.integer","#00AD9A","B",2,"Zone3_B"
"Battersia.arctica","#00AD9A","B",2,"Zone3_B"
"Eudesme.virescens","#00AD9A","B",2,"Zone3_B"
"Gaillona.rosea","#00AD9A","B",2,"Zone3_B"
"Rhodochorton.purpureum","#00AD9A","B",2,"Zone3_B"
"Cladophora.rupestris","#00AD9A","B",2,"Zone3_B"
"Elachista.fucicola","#00AD9A","B",2,"Zone3_B"
"Urospora.penicilliformis","#B88A00","A",1,"Zone3_A"
"Chara.connivens","#B88A00","A",1,"Zone3_A"
"Rhizoclonium.riparium","#B88A00","A",1,"Zone3_A"
"Gammarellus.homari","#B88A00","A",1,"Zone3_A"
"Metridium.senile","#B88A00","A",1,"Zone3_A"
"Molgula.manhattensis","#B88A00","A",1,"Zone3_A"
"Cerastoderma.edule","#B88A00","A",1,"Zone3_A"
"Ophelia.rathkei","#B88A00","A",1,"Zone3_A"
"Pusillina.inconspicua","#B88A00","A",1,"Zone3_A"
"Apherusa.bispinosa","#B88A00","A",1,"Zone3_A"
"Musculus.discors","#B88A00","A",1,"Zone3_A"
"Stictyosiphon.tortilis","#B88A00","A",1,"Zone3_A"
"Alkmaria.romijni","#B88A00","A",1,"Zone3_A"
"Chorda.filum","#B88A00","A",1,"Zone3_A"
"Fucus.vesiculosus.radicans","#B88A00","A",1,"Zone3_A"
"Chara.canescens","#B88A00","A",1,"Zone3_A"
"Ruppia.maritima","#B88A00","A",1,"Zone3_A"
"Ruppia.cirrhosa","#B88A00","A",1,"Zone3_A"
"Zannichellia.palustris","#B88A00","A",1,"Zone3_A"
"Myriophyllum.spicatum","#B88A00","A",1,"Zone3_A"
"Chara.baltica","#B88A00","A",1,"Zone3_A"
"Stuckenia.pectinata","#B88A00","A",1,"Zone3_A"
"Heterotanais.oerstedii","#B88A00","A",1,"Zone3_A"
"Leathesia.marina","#B88A00","A",1,"Zone3_A"
"Chaetomorpha.linum","#B88A00","A",1,"Zone3_A"
"Zostera.marina","#B88A00","A",1,"Zone3_A"
"Ranunculus.peltatus.peltatus","#B88A00","A",1,"Zone3_A"
"Ceratophyllum.demersum","#B88A00","A",1,"Zone3_A"
"Monostroma.balticum","#B88A00","A",1,"Zone3_A"
"Chara.horrida","#B88A00","A",1,"Zone3_A"
"Schoenoplectus.lacustris","#B88A00","A",1,"Zone3_A"
"Zannichellia.major","#B88A00","A",1,"Zone3_A"
"Bolboschoenus.maritimus","#B88A00","A",1,"Zone3_A"
"Lemna.minor","#B88A00","A",1,"Zone3_A"
"Juncus.gerardii","#B88A00","A",1,"Zone3_A"
"Triglochin.maritima","#B88A00","A",1,"Zone3_A"
"Eleocharis.parvula","#B88A00","A",1,"Zone3_A"
"Eleocharis.uniglumis","#B88A00","A",1,"Zone3_A"
"Ulva.prolifera","#B88A00","A",1,"Zone3_A"
"Edwardsia.longicornis","#D17B44","K",11,"Zone4_K"
"Magelona.alleni","#D17B44","K",11,"Zone4_K"
"Mysia.undata","#D17B44","K",11,"Zone4_K"
"Pholoe.baltica","#D17B44","K",11,"Zone4_K"
"Chaetozone.setosa","#D17B44","K",11,"Zone4_K"
"Goniada.maculata","#D17B44","K",11,"Zone4_K"
"Phoronis.muelleri","#D17B44","K",11,"Zone4_K"
"Galathowenia.oculata","#D17B44","K",11,"Zone4_K"
"Prionospio.fallax","#D17B44","K",11,"Zone4_K"
"Phyllodoce.rosea","#D17B44","K",11,"Zone4_K"
"Amphiura.filiformis","#D17B44","K",11,"Zone4_K"
"Eumida.bahusiensis","#D17B44","K",11,"Zone4_K"
