"cluster_1","cluster_2","n_species_1","n_species_2","n_shared","pct_of_cluster_1","pct_of_cluster_2","total_pct"
"Zone4_C","Zone6_A",25,20,0,0,0,0
"Zone4_B","Zone4_A",18,21,0,0,0,0
"Zone4_B","Zone5_G",18,7,0,0,0,0
"Zone4_B","Zone5_F",18,9,0,0,0,0
"Zone4_B","Zone5_E",18,6,0,0,0,0
"Zone4_B","Zone5_D",18,17,0,0,0,0
"Zone4_B","Zone6_K",18,15,0,0,0,0
"Zone4_B","Zone6_J",18,48,0,0,0,0
"Zone4_B","Zone6_I",18,52,0,0,0,0
"Zone4_B","Zone6_G",18,28,0,0,0,0
"Zone4_B","Zone6_F",18,32,0,0,0,0
"Zone4_B","Zone6_E",18,11,0,0,0,0
"Zone4_B","Zone6_D",18,18,0,0,0,0
"Zone4_A","Zone5_D",21,17,0,0,0,0
"Zone4_A","Zone5_C",21,11,0,0,0,0
"Zone4_A","Zone5_B",21,15,0,0,0,0
"Zone4_A","Zone5_A",21,11,0,0,0,0
"Zone4_A","Zone6_K",21,15,0,0,0,0
"Zone4_A","Zone6_H",21,28,0,0,0,0
"Zone4_A","Zone6_G",21,28,0,0,0,0
"Zone4_A","Zone6_A",21,20,0,0,0,0
"Zone5_G","Zone5_F",7,9,0,0,0,0
"Zone5_G","Zone5_E",7,6,0,0,0,0
"Zone5_G","Zone5_D",7,17,0,0,0,0
"Zone5_G","Zone5_C",7,11,0,0,0,0
"Zone5_G","Zone5_B",7,15,0,0,0,0
"Zone5_G","Zone5_A",7,11,0,0,0,0
"Zone5_G","Zone6_K",7,15,0,0,0,0
"Zone5_G","Zone6_I",7,52,0,0,0,0
"Zone5_G","Zone6_H",7,28,0,0,0,0
"Zone5_G","Zone6_G",7,28,0,0,0,0
"Zone5_G","Zone6_F",7,32,0,0,0,0
"Zone5_G","Zone6_D",7,18,0,0,0,0
"Zone5_G","Zone6_C",7,32,0,0,0,0
"Zone5_G","Zone6_B",7,25,0,0,0,0
"Zone5_G","Zone6_A",7,20,0,0,0,0
"Zone5_F","Zone5_E",9,6,0,0,0,0
"Zone5_F","Zone5_D",9,17,0,0,0,0
"Zone5_F","Zone5_C",9,11,0,0,0,0
"Zone5_F","Zone5_B",9,15,0,0,0,0
"Zone5_F","Zone5_A",9,11,0,0,0,0
"Zone5_F","Zone6_K",9,15,0,0,0,0
"Zone5_F","Zone6_I",9,52,0,0,0,0
"Zone5_F","Zone6_H",9,28,0,0,0,0
"Zone5_F","Zone6_G",9,28,0,0,0,0
"Zone5_F","Zone6_F",9,32,0,0,0,0
"Zone5_F","Zone6_D",9,18,0,0,0,0
"Zone5_F","Zone6_B",9,25,0,0,0,0
"Zone5_F","Zone6_A",9,20,0,0,0,0
"Zone5_E","Zone5_D",6,17,0,0,0,0
"Zone5_E","Zone5_C",6,11,0,0,0,0
"Zone5_E","Zone5_B",6,15,0,0,0,0
"Zone5_E","Zone5_A",6,11,0,0,0,0
"Zone5_E","Zone6_K",6,15,0,0,0,0
"Zone5_E","Zone6_J",6,48,0,0,0,0
"Zone5_E","Zone6_H",6,28,0,0,0,0
"Zone5_E","Zone6_G",6,28,0,0,0,0
"Zone5_E","Zone6_E",6,11,0,0,0,0
"Zone5_E","Zone6_B",6,25,0,0,0,0
"Zone5_E","Zone6_A",6,20,0,0,0,0
"Zone5_D","Zone5_C",17,11,0,0,0,0
"Zone5_D","Zone5_B",17,15,0,0,0,0
"Zone5_D","Zone5_A",17,11,0,0,0,0
"Zone5_D","Zone6_K",17,15,0,0,0,0
"Zone5_D","Zone6_J",17,48,0,0,0,0
"Zone5_D","Zone6_I",17,52,0,0,0,0
"Zone5_D","Zone6_G",17,28,0,0,0,0
"Zone5_D","Zone6_F",17,32,0,0,0,0
"Zone5_D","Zone6_E",17,11,0,0,0,0
"Zone5_D","Zone6_B",17,25,0,0,0,0
"Zone5_D","Zone6_A",17,20,0,0,0,0
"Zone5_C","Zone5_B",11,15,0,0,0,0
"Zone5_C","Zone5_A",11,11,0,0,0,0
"Zone5_C","Zone6_K",11,15,0,0,0,0
"Zone5_C","Zone6_J",11,48,0,0,0,0
"Zone5_C","Zone6_I",11,52,0,0,0,0
"Zone5_C","Zone6_H",11,28,0,0,0,0
"Zone5_C","Zone6_G",11,28,0,0,0,0
"Zone5_C","Zone6_F",11,32,0,0,0,0
"Zone5_C","Zone6_E",11,11,0,0,0,0
"Zone5_C","Zone6_D",11,18,0,0,0,0
"Zone5_B","Zone5_A",15,11,0,0,0,0
"Zone5_B","Zone6_K",15,15,0,0,0,0
"Zone5_B","Zone6_J",15,48,0,0,0,0
"Zone5_B","Zone6_G",15,28,0,0,0,0
"Zone5_B","Zone6_F",15,32,0,0,0,0
"Zone5_B","Zone6_E",15,11,0,0,0,0
"Zone5_B","Zone6_A",15,20,0,0,0,0
"Zone5_A","Zone6_K",11,15,0,0,0,0
"Zone5_A","Zone6_J",11,48,0,0,0,0
"Zone5_A","Zone6_I",11,52,0,0,0,0
"Zone5_A","Zone6_G",11,28,0,0,0,0
"Zone5_A","Zone6_F",11,32,0,0,0,0
"Zone5_A","Zone6_E",11,11,0,0,0,0
"Zone5_A","Zone6_D",11,18,0,0,0,0
"Zone5_A","Zone6_A",11,20,0,0,0,0
"Zone6_K","Zone6_J",15,48,0,0,0,0
"Zone6_K","Zone6_I",15,52,0,0,0,0
"Zone6_K","Zone6_H",15,28,0,0,0,0
"Zone6_K","Zone6_G",15,28,0,0,0,0
"Zone6_K","Zone6_F",15,32,0,0,0,0
"Zone6_K","Zone6_E",15,11,0,0,0,0
"Zone6_K","Zone6_D",15,18,0,0,0,0
"Zone6_K","Zone6_C",15,32,0,0,0,0
"Zone6_K","Zone6_B",15,25,0,0,0,0
"Zone6_K","Zone6_A",15,20,0,0,0,0
"Zone6_J","Zone6_I",48,52,0,0,0,0
"Zone6_J","Zone6_H",48,28,0,0,0,0
"Zone6_J","Zone6_G",48,28,0,0,0,0
"Zone6_J","Zone6_F",48,32,0,0,0,0
"Zone6_J","Zone6_E",48,11,0,0,0,0
"Zone6_J","Zone6_D",48,18,0,0,0,0
"Zone6_J","Zone6_C",48,32,0,0,0,0
"Zone6_J","Zone6_B",48,25,0,0,0,0
"Zone6_J","Zone6_A",48,20,0,0,0,0
"Zone6_I","Zone6_H",52,28,0,0,0,0
"Zone6_I","Zone6_G",52,28,0,0,0,0
"Zone6_I","Zone6_F",52,32,0,0,0,0
"Zone6_I","Zone6_E",52,11,0,0,0,0
"Zone6_I","Zone6_D",52,18,0,0,0,0
"Zone6_I","Zone6_C",52,32,0,0,0,0
"Zone6_I","Zone6_B",52,25,0,0,0,0
"Zone6_I","Zone6_A",52,20,0,0,0,0
"Zone6_H","Zone6_G",28,28,0,0,0,0
"Zone6_H","Zone6_F",28,32,0,0,0,0
"Zone6_H","Zone6_E",28,11,0,0,0,0
"Zone6_H","Zone6_D",28,18,0,0,0,0
"Zone6_H","Zone6_C",28,32,0,0,0,0
"Zone6_H","Zone6_B",28,25,0,0,0,0
"Zone6_H","Zone6_A",28,20,0,0,0,0
"Zone6_G","Zone6_F",28,32,0,0,0,0
"Zone6_G","Zone6_E",28,11,0,0,0,0
"Zone6_G","Zone6_D",28,18,0,0,0,0
"Zone6_G","Zone6_C",28,32,0,0,0,0
"Zone6_G","Zone6_B",28,25,0,0,0,0
"Zone6_G","Zone6_A",28,20,0,0,0,0
"Zone6_F","Zone6_E",32,11,0,0,0,0
"Zone6_F","Zone6_D",32,18,0,0,0,0
"Zone6_F","Zone6_C",32,32,0,0,0,0
"Zone6_F","Zone6_B",32,25,0,0,0,0
"Zone6_F","Zone6_A",32,20,0,0,0,0
"Zone6_E","Zone6_D",11,18,0,0,0,0
"Zone6_E","Zone6_C",11,32,0,0,0,0
"Zone6_E","Zone6_B",11,25,0,0,0,0
"Zone6_E","Zone6_A",11,20,0,0,0,0
"Zone6_D","Zone6_C",18,32,0,0,0,0
"Zone6_D","Zone6_B",18,25,0,0,0,0
"Zone6_D","Zone6_A",18,20,0,0,0,0
"Zone6_C","Zone6_B",32,25,0,0,0,0
"Zone6_C","Zone6_A",32,20,0,0,0,0
"Zone6_B","Zone6_A",25,20,0,0,0,0
